,title,synopsis,genre,adult
0,Haikyuu Second Season,following participation inter-high high school volleyball team attempts refocus efforts aiming conquer spring tournament instead receive invitation long-standing rival high agrees take part large training camp alongside many notable volleyball teams even national level players playing toughest teams japan hope sharpen skills also come new attacks would strengthen moreover attempt devise powerful weapon one could possibly break sturdiest blocks facing may last chance victory senior players graduate members volleyball team must learn settle differences train harder ever hope overcome formidable opponents old new including archrival world-class setter,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",1
1,Shigatsu wa Kimi no Uso,music accompanies path human metronome prodigious pianist passing mother saki falls downward spiral rendering unable hear sound piano two years later still avoids piano leaving behind admirers rivals lives colorless life alongside friends however everything changes meets beautiful violinist stirs world sets journey face music based manga series name approaches story recovery discovers music playing note perfectly single melody bring fresh spring air,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",1
2,Made in Abyss,abyss gaping chasm stretching depths earth filled mysterious creatures relics time long past come lies bottom countless brave individuals known divers sought solve mysteries abyss fearlessly descending darkest realms best bravest divers white whistles hailed legends remain surface daughter missing white whistle annihilator aspires become like mother explore furthest reaches abyss however novice red whistle permitted roam upper layer even chance encounter mysterious robot appearance ordinary young boy comes name reg recollection events preceding discovery certain technology create reg must come deep within abyss two decide venture forth chasm recover memories see bottom great pit eyes however know harsh reality true existence abyss,"['Sci', 'Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",0
3,Fullmetal Alchemist Brotherhood,order something obtained something equal value must lost alchemy bound law equivalent exchange something young brothers realize attempting human transmutation one forbidden act alchemy pay terrible price transgression loses left leg physical body desperate sacrifice right arm able affix soul suit armor devastated alone hope would eventually return original bodies gives inspiration obtain metal limbs called become state alchemist alchemist three years searching later brothers seek philosopher stone mythical relic allows alchemist overcome law equivalent exchange even military allies colonel mustang lieutenant lieutenant colonel side brothers find caught nationwide conspiracy leads true nature elusive philosopher stone country murky history well finding serial killer racing time must ask make human take away humanity,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",1
4,Kizumonogatari III Reiketsu-hen,helping revive legendary vampire kiss-shot heart-under-blade become vampire servant kiss-shot certain turn back human regaining full power hunted three vampire hunters defeated kiss-shot retrieved limbs return full strength however almost accomplished fighting whole time consider really wants revives powerful immortal vampire telling might would way stopping story understand newborn vampire like could defeat hunters overpower kiss-shot trust turn back human even possible first place limit must come decision may possible resolve situation without something regret,"['Action', 'Mystery', 'Supernatural', 'Vampire']",1
5,Mob Psycho 100 II,mob maturing understanding role supernatural psychic power drastically affect livelihood others mentor continue deal supernatural requests clients whether evil spirits tackling urban legends haunt citizens workflow remains mob blindly following around anymore experiences ridiculously strong psychic mob supernatural adventures weight things take serious darker tone dangers mob face much tangible unsettling ever,"['Action', 'Slice', 'of', 'Life', 'Comedy', 'Supernatural']",0
6,Sen to Chihiro no Kamikakushi,stubborn spoiled naive -year-old less pleased parents discover abandoned amusement park way new house cautiously venturing inside realizes place meets eye strange things begin happen dusk falls ghostly apparitions food turns parents pigs start unwittingly crossed spirit world trapped must summon courage live work spirits help enigmatic haku cast unique characters meets along way vivid intriguing sen tells story journey unfamiliar world strives save parents return home,"['Adventure', 'Supernatural', 'Drama']",0
7,Kimetsu no Yaiba,ever since death father burden supporting family fallen upon shoulders though living impoverished remote mountain family able enjoy relatively peaceful happy life one day decides local village make little money selling charcoal way back night falls forcing take shelter house strange man warns existence flesh-eating demons lurk woods night finally arrives back home next day met horrifying sight whole family slaughtered worse still sole survivor sister turned bloodthirsty demon consumed rage hatred swears avenge family stay remaining sibling alongside mysterious group calling demon slayer corps whatever takes slay demons protect remnants beloved sister humanity,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",1
8,Owarimonogatari 2nd Season,following encounter oddity specialist third-year high school student wakes strange deserted void greeted joyfully familiar face alarmingly unfamiliar place help girlfriend maneuvers webs past perplexities present search answers however fate delivers eccentric transfer student brings forth unexpected proposal may unearth foundation anchored peels back layers mystery surrounding apparition discovers truth meant revealed,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",1
9,Code Geass Hangyaku no Lelouch R2,one year passed since black rebellion failed uprising holy empire led masked vigilante zero missing loss without revolutionary leader area resistance group black knights find powerless combat brutality inflicted upon elevens increased significantly order crush hope future revolt lost memory double life living peacefully alongside friends high school student academy former partner unable accept turn events takes upon remind past purpose hoping mastermind zero rise finish started thrilling conclusion series,"['Action', 'Military', 'Sci', 'Fi', 'Super', 'Power', 'Drama', 'Mecha']",1
10,Haikyuu Karasuno Koukou vs Shiratorizawa Gakuen Koukou,victory high high school called fallen powerhouse crow fly finally reached climax heated spring tournament advance nationals team defeat powerhouse academy greatest hurdle adversary ace number one player prefecture one country top three aces strongest team make national tournament since match third-year players last chance qualify nationals use everything learned training camp prior matches attain victory filled restlessness excitement teams determined come top third season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",1
11,Gintama ,joining resistance gang hiding along rebels soon approached two members explain pirates turned 7th division captain former ally present job find missing since ship ambushed raid also makes stunning revelation regarding secret organization pulling strings numerous factions leader shadowy figure uncanny resemblance former teacher hitching ride space ship set home planet various factions gathered tensions brewing long-held grudges political infighting sinister overarching plan finally culminate massive decisive battle,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci', 'Fi', 'Shounen']",1
12,Gintama Movie 2 Kanketsu-hen - Yorozuya yo Eien Nare,apprehends movie pirate premiere checks camera footage finds transported bleak post-apocalyptic version mysterious epidemic called white plague ravished world population turns movie pirate pirate android time machine hurtled five years future cohorts falling battle-hardened solo vigilantes missing years disappearing without trace scribbling strange message journal setting disguise given android time machine haphazardly reunites team investigate white plague soon discovers key saving future lies darkness past determined confront powerful foe makes important discovery ragtag band friends allies side fight alone,"['Action', 'Sci', 'Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",1
13,Gintama,aliens outer space invaded earth taken feudal japan result prohibition swords established samurai japan treated disregard consequence however one man still possesses heart samurai although love sweets work one might expect accompanying jack-of-all-trades line work boy glasses strong heart umbrella seemingly bottomless stomach well oversized pet dog course odd jobs always simple frequently run-ins police ragtag rebels assassins oftentimes leading humorous unfortunate consequences said life errand boy easy,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci', 'Fi', 'Shounen']",1
14,Clannad After Story,story sequel critically acclaimed slice-of-life series begins graduate high school together experience emotional rollercoaster growing unable decide course future learns value strong work ethic discovers strength support couple dedication unity purpose push forward confront personal problems deepen old relationships create new bonds time also moves illusionary world plains grow cold approach winter illusionary girl garbage doll presented difficult situation reveals world true purpose based visual novel key produced animation story drama highlighting importance family struggles adulthood,"['Slice', 'of', 'Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",1
